DataDiscriminator,Asset Category,Currency,Symbol,Date/Time,Quantity,T. Price,C. Price,Proceeds,Comm/Fee,Basis,Realized P/L,MTM P/L,Code,,FY_Source,clean_Realized P/L,clean_Asset Category,Qty_v,Prc_v,Date_v
Order,Stocks,USD,NVDA,"2024-05-22, 23:30:05",0.066,954.38,949.5,-62.98908,0,62.98908,0,-0.3221,FP;O;P,,FY24,0,Stocks,0.66,95.438,2024-05-22
Order,Stocks,USD,SMCI,"2024-06-12, 23:30:05",0.1271,786.2,774.74,-99.92602,-0.9992602,100.9252802,0,-1.4566,FP;O,,FY24,0,Stocks,1.271,78.62,2024-06-12
Order,Stocks,USD,SMCI,"2024-06-25, 5:53:14",0.121,825.97,826.98,-99.94237,-0.9994237,100.9417937,0,0.1222,FP;O,,FY24,0,Stocks,1.21,82.59700000000001,2024-06-25
Order,Forex,USD,AUD.USD,"2024-05-22, 21:48:32",-97,0.6649,,64.4953,-3.0214,,,0.43305,,,FY24,,Forex,-97.0,0.6649,2024-05-22
Order,Forex,USD,AUD.USD,"2024-05-24, 12:25:44",1,0.6597,,-0.6597,0,,,0.004777,L,,FY24,,Forex,1.0,0.6597,2024-05-24
Order,Forex,USD,AUD.USD,"2024-05-28, 8:10:36",0.3255,0.66545,,-0.216603975,0,,,-0.000229,,,FY24,,Forex,0.3255,0.66545,2024-05-28
Order,Forex,USD,AUD.USD,"2024-06-12, 23:31:10",-151,0.66843,,100.93293,0,,,0.470048,L,,FY24,,Forex,-151.0,0.66843,2024-06-12
Order,Forex,USD,AUD.USD,"2024-06-19, 5:47:01",-397,0.66525,,264.10425,-3.0244,,,-0.209775,,,FY24,,Forex,-397.0,0.66525,2024-06-19
Order,Stocks,USD,AMD,"2025-06-05, 5:09:36",1,118.7,118.58,-118.7,-1.000035,119.700035,0,-0.12,O,,FY25,0,Stocks,1.0,118.7,2025-06-05
Order,Stocks,USD,AMD,"2025-06-14, 5:41:08",1,116.244,116.16,-116.244,-1.000046,117.244046,0,-0.084,O,,FY25,0,Stocks,1.0,116.244,2025-06-14
Order,Stocks,USD,AMZN,"2024-07-19, 5:56:31",0.5439,183.85,183.75,-99.996015,-0.99996015,100.99597515,0,-0.0544,O;RP,,FY25,0,Stocks,0.5439,183.85,2024-07-19
Order,Stocks,USD,AMZN,"2024-07-25, 5:56:43",0.553,180.8,180.83,-99.9824,-0.999824,100.982224,0,0.0166,O;RP,,FY25,0,Stocks,0.553,180.8,2024-07-25
Order,Stocks,USD,AMZN,"2024-08-03, 4:38:30",0.5961,167.73,167.9,-99.983853,-0.99983853,100.98369153,0,0.1013,FP;O,,FY25,0,Stocks,0.5961,167.73,2024-08-03
Order,Stocks,USD,AMZN,"2024-10-24, 6:09:16",1.0829,184.68,184.71,-199.989972,-1.000077969,200.990049969,0,0.0325,FPA;O;P,,FY25,0,Stocks,1.0829,184.68,2024-10-24
Order,Stocks,USD,AMZN,"2024-11-01, 8:22:58",1,194,186.4,-194,-1.000048,195.000048,0,-7.6,O,,FY25,0,Stocks,1.0,194.0,2024-11-01
Order,Stocks,USD,AMZN,"2025-04-01, 5:31:26",0.2241,189.83,190.26,-42.540903,-0.425419339,42.966322339,0,0.0964,FP;O,,FY25,0,Stocks,0.2241,189.83,2025-04-01
Order,Stocks,USD,AMZN,"2025-04-01, 6:12:42",1,190.05,190.26,-190.05,-1.000046,191.050046,0,0.21,O,,FY25,0,Stocks,1.0,190.05,2025-04-01
Order,Stocks,USD,CNYA,"2024-10-08, 12:33:54",1,38,32.3,-38,-0.380072,38.380072,0,-5.7,O,,FY25,0,Stocks,1.0,38.0,2024-10-08
Order,Stocks,USD,CNYA,"2024-10-11, 5:38:36",2,30.405,30.35,-60.81,-0.608244,61.418244,0,-0.11,O,,FY25,0,Stocks,2.0,30.405,2024-10-11
Order,Stocks,USD,CNYA,"2024-12-07, 5:45:20",-3,29.142,29.14,87.426,-0.877404443,-99.798316,-13.24972,0.006,C,,FY25,-13.24972,Stocks,-3.0,29.142,2024-12-07
Order,Stocks,USD,FXI,"2025-03-21, 7:27:52",5,37.29,37.23,-186.45,-1.000175,187.450175,0,-0.3,O,,FY25,0,Stocks,5.0,37.29,2025-03-21
Order,Stocks,USD,FXI,"2025-03-25, 11:13:59",2,36.65,36.3,-73.3,-0.733092,74.033092,0,-0.7,O,,FY25,0,Stocks,2.0,36.65,2025-03-25
Order,Stocks,USD,FXI,"2025-04-01, 6:17:55",3,35.845,35.84,-107.535,-1.000138,108.535138,0,-0.015,O,,FY25,0,Stocks,3.0,35.845,2025-04-01
Order,Stocks,USD,FXI,"2025-06-10, 21:02:49",-10,37.03,37.22,370.3,-1.00212,-370.018405,-0.720525,-1.9,C,,FY25,-0.720525,Stocks,-10.0,37.03,2025-06-10
Order,Stocks,USD,GOOGL,"2024-08-03, 4:39:56",0.598,165.54,166.66,-98.99292,-0.9899292,99.9828492,0,0.6698,FP;O,,FY25,0,Stocks,0.598,165.54,2024-08-03
Order,Stocks,USD,GOOGL,"2024-09-13, 0:20:33",0.6516,153.4476,154.69,-99.98645616,-0.999898445,100.986354605,0,0.8095,O;RP,,FY25,0,Stocks,0.6516,153.4476,2024-09-13
Order,Stocks,USD,GOOGL,"2024-09-26, 23:30:00",1.4233,163.699481487,162.73,-232.993472,-1.000074012,233.993546012,0,-1.3799,FPA;O;P,,FY25,0,Stocks,1.4233,163.699481487,2024-09-26
Order,Stocks,USD,GOOGL,"2024-12-18, 1:34:34",0.0022,197.65,195.42,-0.43483,-0.000434988,0.435264988,0,-0.0049,O;R,,FY25,0,Stocks,0.0022,197.65,2024-12-18
Order,Stocks,USD,GOOGL,"2025-03-19, 0:30:00",0.0028,163.6,160.67,-0.45808,-0.000458209,0.458538209,0,-0.0082,O;R,,FY25,0,Stocks,0.0028,163.6,2025-03-19
Order,Stocks,USD,GOOGL,"2025-04-01, 0:30:43",1.3221,153,154.64,-202.2813,-1.000049817,203.281349817,0,2.1682,FPA;O;P,,FY25,0,Stocks,1.3221,153.0,2025-04-01
Order,Stocks,USD,GOOGL,"2025-04-24, 9:45:58",2,155.8,155.35,-311.6,-1.00007,312.60007,0,-0.9,O,,FY25,0,Stocks,2.0,155.8,2025-04-24
Order,Stocks,USD,GOOGL,"2025-06-17, 23:30:00",0.006,175.64,175.95,-1.05384,-0.001054116,1.054894116,0,0.0019,O;R,,FY25,0,Stocks,0.006,175.64,2025-06-17
Order,Stocks,USD,GOOGL,"2025-06-25, 5:55:00",2,166.7,166.77,-333.4,-1.00007,334.40007,0,0.14,O,,FY25,0,Stocks,2.0,166.7,2025-06-25
Order,Stocks,USD,META,"2024-07-25, 5:46:23",0.2151,464.815,461.27,-99.9817065,-0.999817065,100.981523565,0,-0.7625,O;RP,,FY25,0,Stocks,0.2151,464.815,2024-07-25
Order,Stocks,USD,META,"2024-07-26, 5:58:35",0.2201,454.19,453.41,-99.967219,-0.99967219,100.96689119,0,-0.1717,FP;O,,FY25,0,Stocks,0.2201,454.19,2024-07-26
